From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
2697;2696;sea;3589;1;1;1;1;Ganges
915;904;sea;3596;1;1;1;1;Elbe
916;904;sea;3596;1;1;1;1;Elbe
916;930;sea;3596;1;1;1;1;Elbe
947;932;sea;3596;1;1;1;1;Elbe
948;932;sea;3596;1;1;1;1;Elbe
947;934;sea;3596;1;1;1;1;Elbe
964;934;sea;3596;1;1;1;1;Elbe
965;934;sea;3596;1;1;1;1;Elbe
965;933;sea;3596;1;1;1;1;Elbe
2162;2163;sea;3595;1;1;1;1;Rhone
2169;2163;sea;3595;1;1;1;1;Rhone
2169;2172;sea;3595;1;1;1;1;Rhone
2170;2172;sea;3595;1;1;1;1;Rhone
2170;2184;sea;3595;1;1;1;1;Rhone
2185;2184;sea;3595;1;1;1;1;Rhone
2330;3052;sea;3593;1;1;1;1;Oxus
2400;3053;sea;3593;1;1;1;1;Oxus
2400;2417;sea;3593;1;1;1;1;Oxus
3279;2769;sea;3593;1;1;1;1;Oxus
2401;2769;sea;3593;1;1;1;1;Oxus
34;35;sea;3600;1;1;1;1;Hiber
122;35;sea;3600;1;1;1;1;Hiber
122;121;sea;3600;1;1;1;1;Hiber
120;121;sea;3600;1;1;1;1;Hiber
120;119;sea;3600;1;1;1;1;Hiber
146;142;sea;3599;1;1;1;1;Baetis
141;144;sea;3599;1;1;1;1;Baetis
147;144;sea;3599;1;1;1;1;Baetis
147;144;sea;3599;1;1;1;1;Baetis
1880;1882;sea;3611;1;1;1;1;Euphrates
1881;1882;sea;3611;1;1;1;1;Euphrates
381;3029;sea;3611;1;1;1;1;Euphrates
381;2469;sea;3611;1;1;1;1;Euphrates
3123;2469;sea;3611;1;1;1;1;Euphrates
3123;2471;sea;3611;1;1;1;1;Euphrates
3123;372;sea;3611;1;1;1;1;Euphrates
3124;372;sea;3611;1;1;1;1;Euphrates
3124;1931;sea;3611;1;1;1;1;Euphrates
372;1931;sea;3612;1;1;1;1;Tigris
372;3126;sea;3612;1;1;1;1;Tigris
372;3028;sea;3612;1;1;1;1;Tigris
380;3028;sea;3612;1;1;1;1;Tigris
380;1878;sea;3612;1;1;1;1;Tigris
1882;1878;sea;3612;1;1;1;1;Tigris

1144;1936;sea;1305;1;1;1;1;Tanis
1144;1158;sea;1305;1;1;1;1;Tanis
1148;1158;sea;1305;1;1;1;1;Tanis
1148;1159;sea;1305;1;1;1;1;Tanis
1149;1159;sea;1305;1;1;1;1;Tanis
1149;1163;sea;1292;1;1;1;1;Tanis
1150;1194;sea;1292;1;1;1;1;Tanis

3370;3400;sea;2976;-1;-1;-1;-1;china hainan
3525;547;sea;1522;1431;1182;1429;1181;NaxosParos
3525;544;sea;1522;1426;1184;1430;1193;TenusParos
544;547;sea;1522;1434;1193;1436;1186;TenusNaxos
3525;546;sea;1522;1419;1178;1408;1176;ParosMelus
545;546;sea;1520;1404;1179;1400;1182;MelusCeus
544;543;sea;1555;1419;1204;1417;1206;TenusAndros
262;249;sea;1417;-1;-1;-1;-1;SicilyAeolianIs
737;720;sea;1552;-1;-1;-1;-1;HamaxitosLesbos
739;721;sea;1552;-1;-1;-1;-1;NesosLesbos
542;512;sea;1513;-1;-1;-1;-1;TroizenAegina
535;573;sea;1473;-1;-1;-1;-1;AchaeaAeotolia
576;591;sea;1472;-1;-1;-1;-1;NikopolisAnactorium
-1;-1;;-1;-1;-1;-1;-1;-1;
